arc_id,flow_m3h
A000060,396.471
A000167,359.35
A000179,116.689
A000197,194.01
A000297,502.4
A000373,75.001
A000609,50.0
A000645,429.36
A000663,668.915
A000695,420.353
A000714,109.908
A000715,390.913
A000958,192.79
A000990,142.305
A001473,80.289
A001525,94.686
A001604,45.556
A001641,362.58
A001658,164.868
A001670,204.491
A001677,66.792
A001679,77.108
A001710,437.903
A001713,314.691
A001792,111.878
A001877,91.333
A001880,260.756
A001886,91.333
A001909,547.448
A002088,72.343
A002100,174.02
A002112,53.729
A002215,88.005
A002298,276.515
A002327,50.0
A002330,125.62
A002633,334.402
A002638,247.272
A002655,105.976
A002716,119.206
A002819,35.94
A002840,138.546
A002874,121.147
A002876,206.68
A002890,464.623
A002938,80.727
A003116,40.739
A003253,1545.525
A003306,25.491
A003346,44.78
A003347,44.78
A003350,63.506
A003352,63.506
A003617,300.62
A003631,53.34
A003633,73.256
A003683,261.669
A003732,222.974
A003806,48.549
A004125,79.95
A004290,33.63
A004391,87.495
A004394,26.233
A004419,222.678
A004456,199.71
A004463,36.343
A004468,96.703
A004483,154.422
A005158,149.507
A005178,92.398
A005213,74.374
A005221,195.246
A005293,374.263
A005354,41.929
A005380,130.211
A005394,106.381
A005466,46.67
A005498,276.878
A005513,67.908
A005535,343.86
A005605,26.233
A005644,30.834
A005659,691.543
A006174,75.001
A006210,62.015
A006325,132.389
A006329,518.02
A006342,60.674
A006370,12.408
A006428,97.126
A006455,163.127
A006711,73.486
A006821,121.287
A006876,764.354
A006907,620.915
A007005,22.989
A007007,22.989
A007039,819.718
A007042,254.135
A007116,1617.035
A007122,113.38
A007261,66.549
A007424,131.127
A007429,64.559
A007655,2.292
A007783,80.289
A007828,98.166
A007844,98.166
A008365,1545.525
A008418,1171.07
A008559,667.246
A008563,2785.68
A008591,10009.136
A008592,658.434
A008593,10667.57
A008783,3733.33
A008784,7415.54
A008786,11148.87
A009031,108.139
A009149,101.304
A009152,178.594
A009197,2251.75
A009207,1415.14
A009260,300.142
A009337,98.762
A009366,351.767
A009391,1190.184
A009402,34.871
A009467,134.573
A009492,1239.483
A009511,330.794
A009525,53.079
A009602,2.292
A009606,187.295
A009749,109.662
A009776,2666.83
A009785,79.873
A009846,344.533
A009849,164.868
A009873,264.304
A009891,11.861
A009986,37.383
A010005,134.528
A010079,54.861
A010154,708.719
A010224,463.779
A010323,146.005
A010451,1843.18
A010527,345.228
A010555,133.741
A010582,176.744
A010603,1960.279
A010606,252.244
A010624,87.495
A010794,15.627
A010812,306.511
A010818,216.056
A010843,74.782
A010856,439.613
A010857,78.609
A010908,111.291
A011004,123.545
A011007,93.617
A011032,245.35
A011108,86.566
A011147,50.0
A011198,318.268
A011287,101.617
A011297,75.102
A011332,1138.986
A011335,97.791
A011425,79.95
A011431,42.203
A011462,470.641
A011631,50.0
A011635,115.506
A011646,63.256
A011707,253.336
A011747,90.507
A011800,192.2
A011864,96.703
A011888,351.767
A012072,502.543
A012113,156.07
A012200,554.624
A012343,50.0
A012601,105.094
A012610,2991.59
A012676,437.903
A013060,174.785
A013102,72.057
A013168,216.079
A013234,273.283
A013236,204.934
A013300,125.993
A013409,121.287
A013418,2104.179
A013473,209.656
A013505,72.057
A013726,5.459
A013814,8.774
A013824,73.486
A013871,889.382
A014219,23.426
A014257,123.545
A014319,204.491
A014324,470.641
A014334,253.336
A014445,125.62
A014629,209.259
A014641,46.949
A014661,48.581
A015037,92.478
A015083,80.727
A015289,181.958
A015296,766.821
A015402,330.379
A015434,216.079
A015454,98.762
A015504,246.807
A015575,465.101
A015841,63.506
A015871,104.899
A015882,54.861
A015904,122.049
A015955,153.441
A016046,156.07
A016129,41.929
A016152,78.995
A016200,81.112
A016278,564.244
A016283,431.834
A016325,611.586
A016332,344.533
A016430,745.327
A016444,292.126
A016574,502.4
A016641,44.608
A016734,374.263
A016762,247.272
A016786,42.203
A016969,88.49
A016986,729.822
A017013,26.326
A017034,75.001
A017122,79.847
A017202,606.954
A017259,396.828
A017271,37.383
A017321,376.722
A017357,292.126
A017378,204.934
A017503,34.871
A017546,484.175
A017603,85.533
A017617,2299.157
A017756,254.886
A017765,222.974
A017805,4733.92
A017852,50.0
A017867,839.089
A017929,119.206
A017956,1545.525
A017997,222.678
A018030,327.577
A018067,404.842
A018205,149.507
A018407,222.974
A018415,276.878
A018420,2006.1
A018446,738.417
A018473,1541.695
A018729,109.662
A018844,82.843
A018888,191.83
A018919,136.649
A018925,90.883
A018942,2457.394
A019097,45.556
A019321,131.711
A019389,96.48
A019450,97.791
A019510,651.213
A019620,1198.523
A019874,1211.067
A019887,48.075
A019963,149.822
A019996,1415.14
A020005,504.228
A020044,83.998
A020057,79.95
A020077,344.533
