arc_id,flow_m3h
A000076,359.35
A000091,6.941
A000104,176.2491
A000197,141.84
A000209,241.1869
A000291,136.649
A000324,14.25
A000375,66.92
A000572,17.19
A000663,104.8529
A000665,50.281
A000687,77.8096
A000714,187.7176
A000715,390.913
A000958,192.79
A001235,50.0
A001238,66.689
A001426,232.3117
A001487,46.67
A001502,158.702
A001627,158.702
A001670,204.491
A001677,66.792
A001679,294.12
A001729,0.8707
A001863,437.903
A001877,260.4725
A001880,229.06
A001886,260.4725
A002112,53.729
A002292,314.7148
A002310,338.849
A002433,106.948
A002486,113.7682
A002495,651.213
A002561,208.93
A002654,79.873
A002716,67.4671
A002955,73.7239
A003116,82.2665
A003172,34.246
A003245,455.071
A003253,876.045
A003306,94.162
A003328,413.8596
A003350,63.506
A003352,63.506
A003633,73.256
A003785,29.0073
A004039,1220.5998
A004041,526.352
A004044,526.352
A004168,43.1782
A004419,222.678
A005084,14.722
A005151,111.811
A005212,182.3547
A005332,27.8612
A005354,29.7369
A005494,179.8202
A005525,90.883
A005620,35.629
A005690,530.81
A005692,475.949
A006313,475.949
A006370,33.3548
A006471,95.1
A006609,354.463
A006611,354.463
A006709,611.1579
A006711,2413.0148
A006812,24.739
A007122,441.0958
A007592,1677.05
A007605,793.3543
A007653,2.292
A008365,2175.0917
A008418,1223.89
A008450,11341.4
A008452,11341.4
A008485,11444.524
A008486,1104.0263
A008487,12548.55
A008591,10667.57
A008593,10667.57
A008855,260.924
A008881,50.0
A008885,118.712
A009152,152.6357
A009179,1677.05
A009198,2065.0137
A009273,131.127
A009492,982.0
A009602,2.292
A009606,1.925
A009620,1.925
A009688,21.8591
A009699,58.6864
A009718,54.861
A009733,241.1869
A009749,109.662
A009846,49.2761
A009891,11.861
A009986,53.729
A009995,97.5149
A010005,134.528
A010126,651.213
A010154,1076.6978
A010219,43.1782
A010308,177.126
A010399,1252.2899
A010401,276.878
A010403,105.094
A010451,1843.18
A010527,99.7127
A010553,62.599
A010555,166.975
A010573,43.5374
A010603,1304.3281
A010611,85.05
A010622,83.221
A010625,48.581
A010672,58.086
A010740,114.559
A010765,747.2727
A010822,16.346
A010826,491.2367
A010843,29.0073
A010960,239.8721
A011004,123.545
A011007,93.617
A011024,30.834
A011032,298.9839
A011089,38.52
A011108,73.7239
A011147,20.9927
A011204,526.352
A011218,295.2569
A011272,2.292
A011287,101.617
A011339,554.622
A011414,46.6402
A011420,94.686
A011606,36.38
A011631,50.0
A011636,696.9965
A011747,239.8721
A011807,21.8591
A011860,631.0809
A011977,0.8707
A012072,194.639
A012246,354.463
A012329,41.183
A012450,15.627
A012457,85.697
A012469,81.15
A012475,24.739
A012899,134.2841
A012911,40.477
A012986,108.139
A013060,174.785
A013168,216.079
A013229,172.974
A013274,133.63
A013358,260.924
A013418,1665.2401
A013456,62.599
A013473,535.692
A013494,62.7833
A013558,36.0077
A013579,314.7148
A013586,90.883
A013669,354.463
A013695,142.6549
A013721,82.2665
A013726,5.459
A013767,425.9949
A013814,194.078
A013824,159.183
A014105,48.5647
A014131,401.9509
A014136,306.9839
A014219,185.4619
A014257,123.545
A014317,21.8591
A014319,204.491
A014451,94.3187
A014583,182.503
A014641,46.949
A014701,229.13
A014737,254.1565
A015085,68.931
A015146,227.277
A015201,271.3941
A015210,403.7039
A015275,72.584
A015402,284.11
A015422,113.7682
A015434,216.079
A015504,550.444
A015604,125.258
A015691,85.533
A015817,140.2039
A015841,63.506
A015871,346.4653
A015950,83.221
A016114,85.05
A016155,121.287
A016200,401.2939
A016223,112.425
A016266,98.9276
A016306,14.722
A016318,387.3067
A016325,1302.986
A016332,49.2761
A016394,271.3941
A016430,1649.9858
A016444,464.63
A016459,1102.7606
A016641,111.528
A016762,136.8466
A016849,67.9839
A016880,0.8707
A016968,1102.7606
A016981,423.986
A017013,26.326
A017041,81.15
A017122,79.847
A017202,1086.2126
A017261,16.346
A017267,116.689
A017271,53.729
A017311,437.903
A017318,98.166
A017357,149.9152
A017462,50.0
A017474,109.662
A017501,54.2887
A017503,28.5027
A017687,50.0
A017756,206.305
A017765,50.0
A017852,216.3184
A017929,67.4671
A017956,1331.116
A017997,222.678
A018030,569.1432
A018174,1070.2933
A018175,156.41
A018407,1967.7009
A018683,475.949
A018888,104.8529
A018943,235.9168
A018949,581.421
A018955,16.346
A018967,96.48
A019007,332.404
A019011,178.724
A019125,15.627
A019132,333.66
A019141,420.6262
A019216,400.656
A019321,78.3847
A019324,321.1592
A019351,106.948
A019620,939.8349
A019706,193.1
A019749,50.0
A019791,179.8202
A019874,3868.7169
A019887,50.0
A019918,41.183
A020044,83.998
A020077,49.2761
A020221,46.6402
A020264,121.287
A020268,35.94
A020378,133.741
A020441,41.183
A020463,118.614
A020573,78.995
A020591,43.5374
A020625,330.009
A020637,212.3917
A020690,294.12
A020789,136.649
A020821,654.2659
A020899,443.377
A021086,420.6262
A021255,108.139
A021415,44.1454
A021443,50.0
A021582,226.894
A021673,65.5962
A021802,401.9509
A021809,812.5025
A021895,136.8466
A021948,96.703
A021998,339.6556
A022064,403.7039
A022223,526.352
A022317,149.9152
A022439,78.8615
A022503,40.477
A022646,73.256
A022759,99.4913
A022774,36.343
A022808,581.421
A022926,180.041
A023078,423.3143
A023110,413.8596
A023153,41.4519
A023206,36.38
A023209,62.7833
A023255,418.6138
A023407,1304.3281
A023422,29.7369
A023448,583.7449
A023506,46.6402
A023539,248.127
A023598,85.764
A023661,50.0
A023677,182.3547
A023731,584.7601
A023781,43.1782
A024039,2.292
A024058,138.5517
A024065,260.2205
A024182,276.878
A024243,192.79
A024378,843.9757
A024479,134.573
A024568,2603.39
A024633,1001.2051
A024662,29.0073
A024749,1562.723
A024777,578.6306
A024924,457.44
A025196,178.724
A025289,6.941
A025298,50.0
A025346,20.9468
A025485,82.2665
A025512,328.48
A025595,227.277
A025844,160.465
A025923,320.2565
A026027,341.124
A026102,24.739
A026110,174.785
A026140,1061.7432
A026159,10.813
A026223,439.2857
A026324,158.78
A026343,830.78
A026412,73.256
A026417,1493.2135
A026486,3.3598
A026609,0.8707
A026649,180.041
A026713,90.739
A026755,43.473
A026828,163.127
A026910,455.071
A026932,45.39
A026934,46.67
A026942,497.3149
A026986,78.3847
A027121,346.798
A027147,43.1782
A027276,58.6864
A027279,2934.0097
A027298,139.348
A027382,176.2491
A027427,272.399
A027480,67.9839
A027542,13.454
A027714,133.63
A027746,654.2659
A027832,710.9297
A027930,101.617
A028050,230.523
A028153,953.7425
A028212,23.138
A028352,106.381
A028367,125.258
A028446,168.755
A028471,654.2659
A028489,298.0663
A028512,48.5647
A028535,352.694
A028581,223.734
A028587,35.94
A028603,125.531
A028671,484.2425
A028673,101.617
A028711,183.8266
A028749,335.279
A028817,152.6357
A028867,94.162
A028955,125.531
A029145,17.19
A029188,225.2785
A029215,359.35
A029232,182.503
A029235,73.7239
A029253,50.0
A029411,408.2492
A029537,235.909
A029639,581.4467
A029668,405.1314
A029669,626.76
A029730,58.086
A029928,44.1454
A029934,134.573
A029987,504.0802
A029990,367.4433
A030004,231.9313
A030024,114.559
A030193,3894.6277
A030196,768.4188
A030245,98.9276
A030279,449.8564
A030452,92.398
A030533,94.042
A030582,29.0073
A030584,333.8775
A030592,1429.7075
A030964,1120.546
A031016,186.734
A031118,125.675
A031135,14.722
A031164,418.6138
A031307,83.715
A031431,530.0471
A031695,29.7369
A031704,241.1869
A031847,162.0359
A031870,136.8466
A031917,93.617
A032068,29.095
A032112,578.6306
A032234,1107.3795
A032383,295.2569
A032404,220.215
A032416,183.8266
A032425,1214.2886
A032447,367.4433
A032567,261.308
A032696,1562.723
A032824,805.2762
A032950,137.219
A033054,219.0027
A033075,1120.56
A033208,23.138
A033215,172.974
A033223,491.2367
A033258,239.8721
A033351,193.1
A033381,258.497
A033388,72.584
A033473,353.4913
A033619,328.48
A033623,33.234
A033696,201.076
A033782,40.477
A033796,58.086
A033874,784.11
A033957,343.2496
A033996,79.873
A034046,131.127
A034069,241.5073
A034100,121.147
A034120,164.868
A034126,8.6864
A034158,153.441
A034251,226.894
A034270,284.11
A034428,168.755
A034508,72.584
A034569,653.494
A034574,43.473
A034619,163.127
A034660,154.422
A034681,348.031
A034704,231.9313
A034726,93.617
A034738,319.1004
A034962,36.38
A035167,212.3917
A035228,156.41
A035305,138.5517
A035325,11.861
A035532,85.533
A035538,105.094
A035552,133.7373
A035574,97.5149
A035579,36.7112
A035595,28.5027
A035687,30.834
A035738,67.908
A035854,190.3915
A035900,122.049
A036002,70.2302
A036271,160.465
A036406,188.6638
A036464,254.135
A036499,3739.22
A036613,241.5662
A036732,2546.3315
A036741,70.2302
A036784,59.903
A036839,85.764
A036926,85.05
A037009,443.377
A037107,208.93
A037150,42.88
A037191,113.38
A037222,263.6008
A037316,95.1
A037355,232.3117
A037375,43.5374
A037400,235.9168
A037478,112.425
A037508,13.454
A037575,310.832
A037624,805.2762
A038047,94.3187
A038158,443.377
A038159,413.8596
A038193,138.546
A038206,254.135
A038331,92.398
A038354,300.8
A038360,193.1
A038399,30.0
A038415,359.35
A038474,547.2517
A038486,111.528
A038549,114.559
A038604,39.043
A038615,96.703
A038741,38.52
A038757,20.9468
A038843,36.0077
A038912,176.2491
A038974,103.1238
A039014,837.525
A039293,338.849
A039391,11.727
A039412,68.931
A039482,99.4913
A039512,88.8485
A039522,34.246
A039523,3264.03
A039531,46.633
A039538,130.211
A039570,560.89
A039620,414.56
A039670,48.581
A039807,73.5149
A039846,166.975
A039892,167.067
A039936,738.5921
A040084,3513.5994
A040126,232.233
A040150,106.948
A040191,30.834
A040246,65.5962
A040259,492.5969
A040375,186.734
A040386,283.6286
A040410,1327.806
A040453,1366.1006
A040474,125.531
A040495,241.4352
A040505,24.1938
A040544,151.9187
A040618,62.7833
A040736,1252.2899
A040815,115.506
A040847,947.37
A040848,947.37
A040849,2615.2
A040850,2615.2
A040857,3286.49
A040858,3286.49
A040865,598.99
A040866,598.99
A040869,1786.97
A040870,1786.97
A040875,2340.32
A040876,2340.32
A040879,2189.13
A040880,2189.13
A040889,2614.11
A040890,2614.11
A040893,1436.93
A040894,1436.93
A040897,1506.68
A040898,1506.68
A040899,3010.18
A040900,3010.18
A040913,445.57
A040914,445.57
A040917,181.19
A040918,181.19
A040919,456.61
A040920,456.61
A040923,140.41
A040924,140.41
A040931,201.77
A040932,201.77
A040935,315.72
A040936,315.72
A040937,492.39
A040938,492.39
A040939,234.1
A040940,234.1
A040955,127.99
A040956,127.99
A040959,412.07
A040960,412.07
A040967,94.85
A040968,94.85
A040969,369.78
A040970,369.78
A040979,690.81
A040980,690.81
A040983,898.49
A040984,898.49
A040987,633.12
A040988,633.12
A040989,602.79
A040990,602.79
A041003,907.69
A041004,907.69
A041005,590.15
A041006,590.15
A041011,452.47
A041012,452.47
A041013,1028.62
A041014,1028.62
A041019,1309.07
A041020,1309.07
A041023,3710.91
A041024,3710.91
A041025,2738.03
A041026,2738.03
A041033,6774.91
A041034,6774.91
A041035,7352.65
A041036,7352.65
A041041,1044.76
A041042,1044.76
A041043,798.42
A041044,798.42
A041055,2116.47
A041056,2116.47
A041057,896.0
A041058,896.0
A041059,1313.22
A041060,1313.22
A041071,5672.45
A041072,5672.45
A041075,843.05
A041076,843.05
A041079,1469.12
A041080,1469.12
A041145,50.0
A041155,271.3941
A041156,271.3941
A041164,8.774
A041177,38.52
A041178,38.52
A041191,50.0
A041196,216.3184
A041197,216.3184
A041211,254.1565
A041212,254.1565
A041225,665.69
A041226,665.69
A041230,193.1
A041231,193.1
A041257,46.949
A041267,99.4913
A041268,99.4913
A041274,805.2762
A041275,805.2762
A041310,429.02
A041311,429.02
A041374,418.6138
A041375,418.6138
A041389,66.92
A041390,66.92
A041439,442.4279
A041440,442.4279
A041444,36.38
A041445,36.38
A041451,768.4188
A041452,768.4188
A041456,208.93
A041457,208.93
A041480,50.0
A041485,104.8529
A041486,104.8529
A041537,50.0
A041542,50.0
A041608,229.13
A041609,229.13
A041616,17.19
A041617,17.19
A041679,1105.1349
A041680,1105.1349
A041693,340.6626
A041694,340.6626
A041702,26.326
A041710,284.11
A041711,284.11
A041717,586.2947
A041718,586.2947
A041722,33.3548
A041723,33.3548
A041789,256.91
A041790,256.91
A041799,982.0
A041800,982.0
A041823,5.459
A041864,232.3117
A041865,232.3117
A041907,149.9152
A041908,149.9152
A041914,36.0077
A041915,36.0077
A041929,231.9313
A041930,231.9313
A041940,30.834
A041998,59.8834
A041999,59.8834
A042022,13.454
A042032,21.2661
A042033,21.2661
A042037,70.2302
A042038,70.2302
A042050,32.151
A042051,32.151
A042054,14.05
A042055,14.05
A042076,14.25
A042077,14.25
A042085,10.813
A042158,152.6357
A042159,152.6357
A042202,98.58
A042203,98.58
A042209,29.7369
A042210,29.7369
A042214,158.78
A042215,158.78
A042224,141.84
A042225,141.84
A042234,328.48
A042235,328.48
A042246,97.5149
A042247,97.5149
A042249,81.15
A042250,81.15
A042271,414.56
A042272,414.56
A042317,374.68
A042318,374.68
A042346,30.0
A042368,181.73
A042369,181.73
A042395,654.2659
A042396,654.2659
A042412,185.4619
A042413,185.4619
A042443,212.3917
A042444,212.3917
A042448,78.3847
A042449,78.3847
A042460,63.81
A042461,63.81
A042525,429.36
A042526,429.36
A042527,169.1395
A042530,126.42
A042531,126.42
A042553,39.043
A042554,73.5149
A042555,73.5149
A042566,113.38
A042567,113.38
A042573,41.4519
A042574,41.4519
A042614,299.65
A042615,299.65
A042636,229.06
A042637,229.06
A042653,148.0287
A042654,148.0287
A042693,50.0
A042715,11.861
A042813,39.5106
A042814,39.5106
A042847,2006.1
A042848,2006.1
A042854,48.581
A042855,526.352
A042856,526.352
A042890,52.331
A042925,182.3547
A042926,182.3547
A042941,16.346
A042961,36.7112
A042962,36.7112
A042984,156.41
A042985,156.41
A042999,490.6915
A043000,490.6915
A043037,300.8
A043038,300.8
A043058,294.12
A043059,294.12
A043061,354.463
A043062,354.463
A043082,50.0
A043087,190.3915
A043088,190.3915
A043150,50.0
A043158,784.11
A043159,784.11
A043163,88.8485
A043164,88.8485
A043182,23.138
A043185,1334.3281
A043186,1334.3281
A043190,359.35
A043191,359.35
A043216,346.22
A043217,346.22
A043224,46.6402
A043225,46.6402
A043242,2.292
A043267,248.69
A043268,248.69
A043276,297.15
A043277,297.15
A043300,65.5962
A043301,65.5962
A043314,1120.56
A043315,1120.56
A043322,94.3187
A043323,94.3187
A043350,176.9284
A043351,176.9284
A043395,227.1852
A043396,227.1852
A043422,48.5647
A043423,48.5647
A043450,43.473
A043463,560.89
A043464,560.89
A043480,151.9187
A043481,151.9187
A043495,85.05
A043496,85.05
A043539,239.8721
A043540,239.8721
A043636,12.408
A043659,260.924
A043660,260.924
A043766,50.0
A043782,179.8202
A043783,179.8202
A043859,95.1
A043860,95.1
A043915,241.1869
A043916,241.1869
A043984,50.0
A044001,23.426
A044054,1185.0271
A044055,1185.0271
A044077,50.0
A044097,105.48
A044098,105.48
A044121,63.3599
A044122,7.4333
A044123,7.8187
A044124,23.5635
A044125,260.4725
A044127,46.756
A044129,43.757
A044131,56.027
A044132,90.507
A044136,130.211
A044137,72.6817
A044138,66.1863
A044139,136.6322
A044140,26.4058
A044141,6.941
A044142,88.49
A044143,105.585
A044145,260.537
A044146,18.0
A044148,45.5958
A044149,52.7912
A044151,123.545
A044152,413.087
A044153,33.8
A044156,72.931
A044171,40.784
A044178,31.034
A044180,83.362
A044181,86.1635
A044182,72.4575
A044183,272.094
A044185,68.05
A044188,143.057
A044191,83.715
A044193,133.63
A044194,250.833
A044195,83.896
A044196,53.2925
A044197,131.2215
A044203,44.608
A044205,142.172
A044208,179.626
A044210,168.465
A044214,45.39
A044216,125.531
A044217,53.0118
A044218,61.1192
A044219,149.813
A044220,101.681
A044221,63.033
A044222,229.054
A044223,52.119
A044226,81.536
A044228,33.234
A044230,139.097
A044231,133.468
A044232,701.2256
A044233,53.3334
A044234,178.813
A044236,55.9183
A044237,110.4507
A044238,110.834
A044241,77.766
A044242,102.607
A044243,3.5093
A044244,108.8017
A044245,27.99
A044246,106.921
A044247,155.16
A044251,394.533
A044252,65.0217
A044253,22.1923
A044254,58.872
A044257,47.5951
A044258,42.5471
A044259,21.6328
A044264,124.761
A044266,87.272
A044268,7.192
A044270,35.629
A044273,85.907
A044274,80.727
A044277,17.4112
A044278,65.3347
A044279,18.513
A044280,130.485
A044281,13.3887
A044282,37.205
A044283,11.6962
A044284,100.95
A044287,192.79
A044288,95.761
A044289,244.852
A044290,232.233
A044291,151.0434
A044292,17.4646
A044293,67.068
A044295,56.24
A044296,44.7044
A044297,8.1346
A044298,56.74
A044302,132.016
A044304,47.654
A044306,77.065
A044309,192.194
A044311,68.562
A044314,143.498
A044315,33.333
A044316,97.126
A044319,54.637
A044321,113.961
A044322,71.492
A044323,273.4611
A044325,67.9839
A044327,34.246
A044328,191.365
A044330,163.127
A044336,73.47
A044364,41.206
A044366,68.4612
A044367,29.4198
A044368,298.89
A044371,437.903
A044374,83.221
A044375,78.1482
A044376,26.2088
A044377,67.189
A044379,45.835
A044380,126.107
A044381,110.472
A044384,6.3683
A044385,28.5027
A044388,125.552
A044389,112.792
A044390,65.185
A044394,62.599
A044395,123.069
A044397,191.1661
A044398,148.0269
A044401,121.147
A044402,181.801
A044403,56.489
A044405,73.197
A044406,185.841
A044407,40.765
A044409,26.3817
A044414,28.2683
A044415,26.3637
A044419,26.5912
A044420,128.499
A044423,92.398
A044424,149.76
A044426,98.086
A044428,64.345
A044429,45.585
A044431,89.479
A044433,212.468
A044434,178.594
A044435,60.1107
A044436,16.2823
A044437,75.416
A044438,72.051
A044439,44.1958
A044440,27.8612
A044441,149.507
A044444,217.916
A044446,384.884
A044447,7.7869
A044448,48.7841
A044451,141.703
A044452,83.825
A044453,8.8997
A044454,20.5413
A044455,19.19
A044456,34.724
A044457,42.411
A044458,50.093
A044460,112.25
A044461,352.244
A044464,111.811
A044467,58.086
A044469,85.841
A044472,46.67
A044473,61.2325
A044474,34.4925
A044475,144.563
A044478,85.764
A044479,18.0
A044480,96.6225
A044481,15.7325
A044483,69.341
A044487,59.417
A044490,59.1
A044493,121.287
A044496,73.486
A044497,168.49
A044499,170.805
A044500,80.015
A044502,53.5025
A044503,28.1525
A044505,102.43
A044507,86.475
A044509,31.927
A044510,250.9168
A044511,59.1362
A044516,79.621
A044525,67.74
A044533,70.997
A044534,28.842
A044535,84.617
A044537,65.723
A044538,108.839
A044541,24.739
A044542,97.791
A044544,96.703
A044546,83.998
A044547,59.8819
A044548,21.8591
A044549,97.748
A044551,243.017
A044552,68.765
A044553,14.3329
A044554,39.4571
A044556,46.633
A044559,68.931
A044560,5.7588
A044561,27.8538
A044562,6.0825
A044563,171.616
A044564,61.1883
A044565,27.9697
A044566,45.7388
A044567,24.2517
A044570,37.9471
A044579,30.5746
A044583,30.9229
A044589,234.8
A044591,79.54
A044592,76.297
A044595,216.079
A044596,15.1484
A044597,91.2636
A044599,130.756
A044601,179.549
A044602,164.982
A044605,122.049
A044606,224.92
A044608,90.711
A044610,130.587
A044611,84.81
A044612,236.657
A044613,81.219
A044615,33.336
A044616,142.032
A044618,50.275
A044619,47.279
A044622,207.319
A044623,228.7533
A044624,25.7917
A044625,76.527
A044627,2.6717
A044628,15.3283
A044629,131.711
A044630,142.701
A044635,130.376
A044636,126.714
A044637,65.2297
A044638,41.6283
A044639,109.926
A044642,56.297
A044644,61.413
A044646,115.506
A044649,116.689
A044651,154.422
A044652,39.568
A044654,33.828
A044655,45.7747
A044656,29.0073
A044659,50.281
A044660,106.199
A044661,42.009
A044662,249.207
A044663,56.845
A044665,21.4771
A044666,232.5539
A044668,162.45
A044669,7.061
A044671,69.768
A044674,346.798
A044675,17.945
A044677,93.617
A044679,104.899
A044682,90.883
A044683,189.626
A044684,131.074
A044686,55.352
A044687,82.897
A044689,85.0983
A044690,16.5717
A044691,52.0378
A044692,83.7782
A044693,137.25
A044694,81.8552
A044695,22.9408
A044696,67.276
A044697,65.171
A044698,62.015
A044701,136.649
A044702,64.592
A044703,84.025
A044705,109.662
A044706,94.864
A044707,94.304
A044708,44.7378
A044709,9.2592
A044710,31.0546
A044711,63.7788
A044712,16.9646
A044713,77.948
A044714,121.736
A044716,194.016
A044717,183.889
A044720,66.427
A044721,86.287
A044723,255.099
A044724,78.212
A044725,97.001
A044728,198.283
A044731,108.139
A044732,75.102
A044735,59.685
A044738,94.042
A044739,68.4939
A044740,73.8111
A044754,214.639
A044761,57.6
A044763,237.3193
A044764,44.9688
A044766,79.137
A044767,167.904
A044770,59.903
A044771,34.858
A044772,41.929
A044773,31.5222
A044774,45.5548
A044776,130.966
A044779,96.48
A044782,81.033
A044783,231.051
A044784,94.749
A044785,112.558
A044788,651.213
A044791,94.162
A044792,61.472
A044793,127.51
A044796,226.534
A044797,54.7983
A044798,59.2487
A044799,104.301
A044802,338.849
A044803,113.1135
A044804,106.4175
A044805,26.018
A044806,61.987
A044809,63.5
A044810,123.483
A044811,63.274
A044812,219.604
A044814,123.09
A044817,495.427
A044819,235.909
A044820,48.481
A044822,68.604
A044824,28.886
A044825,25.143
A044828,101.552
A044829,66.245
A044830,261.788
A044832,52.17
A044833,141.84
A044834,79.972
A044835,77.204
A044836,308.2918
A044837,49.0192
A044839,364.629
A044840,53.079
A044843,3.7518
A044844,45.2602
A044845,23.4683
A044846,55.0497
A044847,34.8676
A044848,88.7684
A044849,68.822
A044853,125.258
A044854,190.7562
A044856,126.3337
A044857,39.577
A044859,71.785
A044861,40.047
A044867,4.9562
A044869,13.15
A044870,9.8992
A044871,12.3671
A044872,15.9625
A044873,78.831
A044876,60.288
A044877,99.1504
A044878,31.4816
A044880,103.917
A044881,113.908
A044883,78.245
A044884,58.6493
A044885,24.1938
A044886,76.14
A044888,81.112
A044889,34.3604
A044890,88.3446
A044891,28.715
A044893,113.128
A044894,55.223
A044897,15.4917
A044898,29.6942
